_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE,Indicador
189,24296599,Aliança do Tocantins,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,SANEAMENTO,SERVICOS URBANOS,MANUTENCAO DO ATERRO SANITARIO,Sanemaneto e agua,Não específico,0.09
382,24296361,Aliança do Tocantins,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,SANEAMENTO,SERVICOS URBANOS,MANUTENCAO DO ATERRO SANITARIO,Sanemaneto e agua,Não específico,0.09
487,24210145,Crixás do Tocantins,COMPROMETIDO COM A SAUDE NA PRIMEIRA INFANCIA,SAUDE,ATENCAO BASICA,PROMOCAO DA SEGURANCA ALIMENTAR NA PRIMEIRA INFANCIA,Segurança Alimentar,Específico,1
894,24209717,Crixás do Tocantins,COMPROMETIDO COM A SAUDE NA PRIMEIRA INFANCIA,SAUDE,ATENCAO BASICA,PROMOCAO DA SEGURANCA ALIMENTAR NA PRIMEIRA INFANCIA,Segurança Alimentar,Específico,1
469,24210075,Crixás do Tocantins,ASSISTENCIA SOCIAL A SERVICO DE TODOS,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUNTENCAO DO CONSELHO MUNICIPAL DE SEGURANCA ALIMENTAR,Segurança Alimentar,Não Específico,0.09
743,24209862,Crixás do Tocantins,ASSISTENCIA SOCIAL A SERVICO DE TODOS,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUNTENCAO DO CONSELHO MUNICIPAL DE SEGURANCA ALIMENTAR,Segurança Alimentar,Não Específico,0.09
468,24210064,Crixás do Tocantins,COMPROMETIDO COM A SAUDE NA PRIMEIRA INFANCIA,SAUDE,ATENCAO BASICA,ATENCAO A SAUDE DO RECEM-NASCIDO E CRIANCAS NA PRIMEIRA INFANCIA,Sáude-materno-Infantil,Específico,1
662,24209907,Crixás do Tocantins,COMPROMETIDO COM A SAUDE NA PRIMEIRA INFANCIA,SAUDE,ATENCAO BASICA,"ATENCAO A GESTACAO, PARTO E NASCIMENTO",Sáude-materno-Infantil,Específico,1
14,24296732,Aliança do Tocantins,APOIO AO COMBATE/CONTROLE DE PANDEMIA - ENFRENTAMENTO DA EMERGENCIA COVID19,SAUDE,ADMINISTRACAO GERAL,APOIO AO COMBATE/CONTROLE DE PANDEMIA - ENFRENTAMENTO DA EMERGENCIA COVID19,Sáude-materno-Infantil,Não Específico,0.09
23,24296754,Aliança do Tocantins,APOIO AO COMBATE/CONTROLE DE PANDEMIA - ENFRENTAMENTO DA EMERGENCIA COVID19,SAUDE,ADMINISTRACAO GERAL,APOIO AO COMBATE/CONTROLE DE PANDEMIA - ENFRENTAMENTO DA EMERGENCIA COVID19,Sáude-materno-Infantil,Não Específico,0.09
6,24296664,Aliança do Tocantins,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,CUSTEIO - ATENCAO BASICA,Sáude-materno-Infantil,Não específico,0.09
17,24296539,Aliança do Tocantins,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE-FMS,Sáude-materno-Infantil,Não específico,0.09
35,24296455,Aliança do Tocantins,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,ABASTECIMENTO,APOIO AO MICRO E PEQUENO PRODUTOR RURAL,não se aplica,-,-
160,24296479,Aliança do Tocantins,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,ABASTECIMENTO,APOIO AO MICRO E PEQUENO PRODUTOR RURAL,não se aplica,-,-
